Fecha,Portafolio_Agresivo,SPY_Benchmark
2025-09-29,12488.959172713827,14034.659050037026
2025-09-30,12532.416247978734,14087.525864804824
2025-10-01,12510.031592412923,14135.528932613988
2025-10-02,12600.790291455472,14151.811911562469
2025-10-03,12593.628468254312,14151.600444303398
2025-10-06,12896.263073094251,14202.352586480485
2025-10-07,12967.812752967975,14149.697238971758
2025-10-08,13197.782225348275,14234.072675341164
2025-10-09,13033.081611452948,14192.836559822279
2025-10-10,12669.034477872849,13809.234951867133
2025-10-13,12817.660810007785,14021.12514545647
2025-10-14,12950.751823834922,14003.996297471704
2025-10-15,13039.79844408775,14066.167671638634
2025-10-16,12893.72841174084,13970.373003279383
2025-10-17,12905.892421396438,14049.673225431081
2025-10-20,13059.07776227316,14195.797101449276
2025-10-21,13090.60147189904,14195.585634190205
2025-10-22,12974.045686127645,14121.783560774358
2025-10-23,12942.41125528934,14205.524595366553
2025-10-24,13093.459530075437,14321.620120596637
2025-10-27,13190.58544362708,14490.582460594522
2025-10-28,13057.744318699108,14529.069501745478
2025-10-29,12974.208354849592,14536.047921294828
2025-10-30,12832.92249117478,14376.178673437007
2025-10-31,12891.350003813643,14423.335872209882
2025-11-03,12862.845365967263,14450.403681370995
2025-11-04,12751.22674063188,14279.115201523327
2025-11-05,12817.517207319657,14328.598540145987
2025-11-06,12617.6057825977,14174.861842801227
2025-11-07,12653.187399038849,14188.818681899927
2025-11-10,12857.984564887074,14410.224902147469
2025-11-11,12879.266881541498,14443.213794562575
2025-11-12,13054.644717336638,14451.24955040728
2025-11-13,12889.476742221797,14211.445678620545
2025-11-14,12862.071738335539,14209.119538770761
2025-11-17,12643.066331195134,14076.741034592194
2025-11-18,12507.426774741803,13958.530836771399
2025-11-19,12488.001855055132,14012.454987834552
2025-11-20,12241.924950365723,13798.873056172644
2025-11-21,12409.679269620754,13936.32677456892
2025-11-24,12555.061830088063,14141.45001586798
2025-11-25,12595.27039971331,14274.46292182376
2025-11-26,12693.145186369044,14373.006664550938
2025-11-28,12757.325184405467,14451.46101766635
2025-12-01,12695.135355165927,14385.483232836137
2025-12-02,12669.580162276685,14412.128107479108
2025-12-03,12738.453095432715,14462.03438061991
2025-12-04,12690.978881760231,14472.60774357347
2025-12-05,12646.357083862664,14500.098487252726
2025-12-08,12619.518194455995,14456.53623188406
2025-12-09,12617.855800687475,14444.059663598859
2025-12-10,12733.004589115571,14539.854331958111
2025-12-11,12861.231546656849,14573.6890934095
2025-12-12,12724.061774461996,14416.991854437747
2025-12-15,12727.852900452177,14395.210726753414
2025-12-16,12692.937460403975,14355.877816566172
2025-12-17,12544.697120160456,14197.911774039989
2025-12-18,12567.811342886855,14305.125674389084
2025-12-19,12719.41659413352,14383.785890881203
