Fecha,Portafolio_Conservador,SPY_Benchmark
2025-03-18,10434.008898956694,11863.736168412146
2025-03-19,10573.995137647697,11992.942663704645
2025-03-20,10498.437007945015,11958.26203321697
2025-03-21,10526.973049795828,11926.330477097219
2025-03-24,10568.157455650302,12139.912408759126
2025-03-25,10567.994736778097,12169.09489051095
2025-03-26,10407.387746084443,12023.81688352904
2025-03-27,10326.550949694754,11991.88532740929
2025-03-28,10250.411981722133,11750.389717549984
2025-03-31,10234.967106225382,11829.267005183541
2025-04-01,10264.044051001361,11862.67883211679
2025-04-02,10357.733862617564,11937.749709087064
2025-04-03,9975.78158500018,11349.447794351003
2025-04-04,9735.499766635714,10685.017666349308
2025-04-07,9737.313455615595,10665.9856130329
2025-04-08,9689.846250819426,10498.926478366659
2025-04-09,10324.631986255523,11601.516767163865
2025-04-10,9982.606574214007,11093.149476356715
2025-04-11,10107.41046250673,11291.082830847352
2025-04-14,10151.96558063568,11400.622871046231
2025-04-15,10186.798998395621,11368.69131492648
2025-04-16,10100.28560060513,11115.987940336401
2025-04-17,10071.834509466316,11131.847984766742
2025-04-21,9903.495019476692,10866.879509150536
2025-04-22,9992.31838114093,11149.611234528722
2025-04-23,10160.382116020004,11322.379985189888
2025-04-24,10514.278827029917,11560.703586163125
2025-04-25,10585.34025899342,11644.233153496245
2025-04-28,10577.629280458379,11648.673965936741
2025-04-29,10653.412169742025,11722.053104834447
2025-04-30,10635.258969918399,11726.70538453401
2025-05-01,10677.874304913832,11809.812017348992
2025-05-02,10807.035428676578,11985.118375119011
2025-05-05,10752.234981639538,11916.391515920874
2025-05-06,10729.70582180904,11816.79043689834
2025-05-07,10804.142991904428,11866.48524278007
2025-05-08,10917.042211337743,11949.168941076907
2025-05-09,10910.453848466996,11933.943298423783
2025-05-12,11162.665962081775,12328.32973659156
2025-05-13,11324.856142948598,12409.74463133397
2025-05-14,11280.838200817034,12425.604675764309
2025-05-15,11314.701231010764,12486.295779117743
2025-05-16,11311.047578241576,12565.384534010369
2025-05-19,11322.641388280304,12579.129905849997
2025-05-20,11316.383690968212,12536.836454035758
2025-05-21,11196.842201874195,12325.580662223634
2025-05-22,11224.202909948086,12330.444409182272
2025-05-23,11184.341049870749,12246.280440071936
2025-05-27,11351.606079931173,12500.887019993654
2025-05-28,11212.616981669828,12428.565217391306
2025-05-29,11245.189284234384,12477.625621495821
2025-05-30,11261.767656495227,12463.668782397124
2025-06-02,11270.552419861897,12533.875912408761
2025-06-03,11390.36706783698,12605.351845974825
2025-06-04,11464.94719853039,12601.968369829685
2025-06-05,11447.340345894256,12541.06579921718
2025-06-06,11312.772569818737,12669.849359991538
2025-06-09,11310.69852787157,12681.268591981381
2025-06-10,11373.119513023023,12753.16746006559
2025-06-11,11473.526947908294,12716.795091505344
2025-06-12,11522.00226417686,12767.335766423359
2025-06-13,11330.635730206643,12624.595366550304
2025-06-16,11352.207754722305,12744.70876970274
2025-06-17,11336.135694333841,12635.803131281076
2025-06-18,11343.70342774865,12633.899925949438
2025-06-20,11335.67022505948,12567.076272082937
2025-06-23,11419.778135322911,12691.207553157728
2025-06-24,11619.500106450669,12831.410345921931
2025-06-25,11623.89448930713,12838.600232730352
2025-06-26,11738.866004751313,12939.04718078917
2025-06-27,11749.17712634076,13003.333227546811
2025-06-30,11857.08214898051,13065.504601713743
2025-07-01,11778.19206011668,13061.275256532319
2025-07-02,11860.401460361929,13120.486089072254
2025-07-03,11989.76642139053,13223.893578758069
