Fecha,Portafolio_Moderado,SPY_Benchmark
2025-10-07,11617.174943205506,14149.697238971758
2025-10-08,11662.305123203367,14234.072675341164
2025-10-09,11561.812118466298,14192.836559822279
2025-10-10,11361.412288156815,13809.234951867133
2025-10-13,11485.768454006851,14021.12514545647
2025-10-14,11583.134062774525,14003.996297471704
2025-10-15,11517.379845707546,14066.167671638634
2025-10-16,11449.773825063834,13970.373003279383
2025-10-17,11430.178956304475,14049.673225431081
2025-10-20,11503.773334578244,14195.797101449276
2025-10-21,11587.475542882878,14195.585634190205
2025-10-22,11535.277279393147,14121.783560774358
2025-10-23,11465.448122355941,14205.524595366553
2025-10-24,11465.235994208091,14321.620120596637
2025-10-27,11487.475845313445,14490.582460594522
2025-10-28,11423.157011701855,14529.069501745478
2025-10-29,11330.779632776035,14536.047921294828
2025-10-30,11261.46428347333,14376.178673437007
2025-10-31,11316.305971218542,14423.335872209882
2025-11-03,11245.806547520438,14450.403681370995
2025-11-04,11202.306063742803,14279.115201523327
2025-11-05,11203.49379389478,14328.598540145987
2025-11-06,11130.621778119401,14174.861842801227
2025-11-07,11173.517255950199,14188.818681899927
2025-11-10,11297.519417353826,14410.224902147469
2025-11-11,11371.310103754688,14443.213794562575
2025-11-12,11385.05347309752,14451.24955040728
2025-11-13,11288.224252768701,14211.445678620545
2025-11-14,11285.620060237812,14209.119538770761
2025-11-17,11147.453068814119,14076.741034592194
2025-11-18,11086.857064704725,13958.530836771399
2025-11-19,11082.243573667982,14012.454987834552
2025-11-20,10990.758494211455,13798.873056172644
2025-11-21,11125.974214502074,13936.32677456892
2025-11-24,11165.88895987573,14141.45001586798
2025-11-25,11245.408284405528,14274.46292182376
2025-11-26,11262.925458653843,14373.006664550938
2025-11-28,11288.22918699798,14451.46101766635
2025-12-01,11217.93700776292,14385.483232836137
2025-12-02,11233.73979591984,14412.128107479108
2025-12-03,11309.030719311138,14462.03438061991
2025-12-04,11286.868183323102,14472.60774357347
2025-12-05,11241.337340476379,14500.098487252726
2025-12-08,11191.362373491438,14456.53623188406
2025-12-09,11195.0070632168,14444.059663598859
2025-12-10,11295.194198382515,14539.854331958111
2025-12-11,11393.325055459965,14573.6890934095
2025-12-12,11322.799870957173,14416.991854437747
2025-12-15,11348.722726776294,14395.210726753414
2025-12-16,11319.953424392346,14355.877816566172
2025-12-17,11262.784963767555,14197.911774039989
2025-12-18,11261.066227936193,14305.125674389084
2025-12-19,11301.64820240971,14383.785890881203
